,time,code,open,close,low,high,volume,money,factor,high_limit,low_limit,avg,pre_close,paused,open_interest
0,2021-07-23,002233.XSHE,10.09,10.09,10.09,10.09,0.0,0.0,1.0,11.1,9.08,10.09,10.09,0.0,
1,2021-07-23,603809.XSHG,17.2,17.2,17.2,17.2,0.0,0.0,1.0,18.92,15.48,17.2,17.2,0.0,
2,2021-07-23,600205.XSHG,,,,,,,,,,,,,
3,2021-07-23,002897.XSHE,22.24,22.24,22.24,22.24,0.0,0.0,1.0,24.46,20.02,22.24,22.24,0.0,
4,2021-07-23,002906.XSHE,39.4,39.4,39.4,39.4,0.0,0.0,1.0,43.34,35.46,39.4,39.4,0.0,
5,2021-07-23,002596.XSHE,4.22,4.22,4.22,4.22,0.0,0.0,1.0,4.64,3.8,4.22,4.22,0.0,
6,2021-07-23,300846.XSHE,13.05,13.05,13.05,13.05,0.0,0.0,1.0,14.36,11.75,13.05,13.05,0.0,
7,2021-07-23,600387.XSHG,4.9,4.9,4.9,4.9,0.0,0.0,1.0,5.15,4.66,4.9,4.9,0.0,
8,2021-07-23,600393.XSHG,1.45,1.45,1.45,1.45,0.0,0.0,1.0,1.52,1.38,1.45,1.45,0.0,
9,2021-07-23,603212.XSHG,30.08,30.08,30.08,30.08,0.0,0.0,1.0,33.09,27.07,30.08,30.08,0.0,
10,2021-07-23,000988.XSHE,26.09,26.09,26.09,26.09,0.0,0.0,1.0,28.7,23.48,26.09,26.09,0.0,
11,2021-07-23,300643.XSHE,12.78,12.78,12.78,12.78,0.0,0.0,1.0,14.06,11.5,12.78,12.78,0.0,
12,2021-07-23,688529.XSHG,27.32,27.32,27.32,27.32,0.0,0.0,1.0,32.78,21.86,27.32,27.32,0.0,
13,2021-07-23,002060.XSHE,3.6,3.6,3.6,3.6,0.0,0.0,1.0,3.96,3.24,3.6,3.6,0.0,
14,2021-07-23,002296.XSHE,7.16,7.16,7.16,7.16,0.0,0.0,1.0,7.88,6.44,7.16,7.16,0.0,
15,2021-07-23,603217.XSHG,42.1,42.1,42.1,42.1,0.0,0.0,1.0,46.31,37.89,42.1,42.1,0.0,
16,2021-07-23,300033.XSHE,103.22,103.22,103.22,103.22,0.0,0.0,1.0,113.54,92.9,103.22,103.22,0.0,
17,2021-07-23,600831.XSHG,5.51,5.51,5.51,5.51,0.0,0.0,1.0,6.06,4.96,5.51,5.51,0.0,
18,2021-07-23,002858.XSHE,16.46,16.46,16.46,16.46,0.0,0.0,1.0,18.11,14.81,16.46,16.46,0.0,
19,2021-07-23,600468.XSHG,3.97,3.97,3.97,3.97,0.0,0.0,1.0,4.37,3.57,3.97,3.97,0.0,
20,2021-07-23,000949.XSHE,7.76,7.76,7.76,7.76,0.0,0.0,1.0,8.54,6.98,7.76,7.76,0.0,
21,2021-07-23,688116.XSHG,157.8,157.8,157.8,157.8,0.0,0.0,1.0,189.36,126.24,157.8,157.8,0.0,
22,2021-07-23,600258.XSHG,22.95,22.95,22.95,22.95,0.0,0.0,1.0,25.25,20.66,22.95,22.95,0.0,
23,2021-07-23,603220.XSHG,12.47,12.47,12.47,12.47,0.0,0.0,1.0,13.72,11.22,12.47,12.47,0.0,
24,2021-07-23,600687.XSHG,,,,,,,,,,,,,
